ticker,name,Sector,SubIndustry,Address,tech
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,"Pasadena, California",0
JNJ,Johnson & Johnson,Health Care,Health Care Equipment & Services,"New Brunswick, New Jersey",0
JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California",0
JOY,Joy Global Inc.,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",0
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",0
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",0
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",0
KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio",0
KIM,Kimco Realty,Financials,REITs,"New Hyde Park, New York",0
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",0
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",0
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",0
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",0
KO,The Coca Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",0
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",0
KRFT,Kraft Foods Group,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",0
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",0
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",0
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",0
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri",0
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",0
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina",0
LIFE,Life Technologies,Health Care,Biotechnology,"Carlsbad, California",0
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York",0
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California",0
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",0
LM,Legg Mason,Financials,Diversified Financial Services,"Baltimore, Maryland",0
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",0
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",0
LO,Lorillard Inc.,Consumer Staples,Tobacco,"Greensboro, North Carolina",0
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",0
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",0
LSI,LSI Corporation,Information Technology,Semiconductors,"Milpitas, California",0
LTD,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",0
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",0
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",0
LYB,LyondellBasell,Materials,Diversified Chemicals,"Rotterdam, Netherlands",0
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",0
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",1
MAC,Macerich,Financials,Retail REITs,"Santa Monica, California",0
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",0
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",0
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",0
